content_id,content_name,link,team,brand,editor,media_post,design_post,production_team,content_producer,media_producer,production_date,sample_code,page,cgsđ_name,rejuvenation_group,format,region,age_range,model
250528,250528 - CGSĐ Hiếu hiệu quả 6in1 tvc 240614 v3,https://trello.com/c/ZRH5pOd6/1104-250528-cgs%C4%91-hi%E1%BA%BFu-hi%E1%BB%87u-qu%E1%BA%A3-6in1-tvc-240614-v3-%C4%91ph%C6%B0%C6%A1ng-3dhsd-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,đphương,3DHSD,2D-TML,Team sản xuất SG,đphương,3DNSH,2558-10-10,N_23068,CGSĐ,Hiếu,,,,,
250603,250603-CGSĐ Hiếu và chị Thu 5 con ltm 45t ln 241014 v3,https://trello.com/c/q3CGgBYB/1128-250603-cgs%C4%91-hi%E1%BA%BFu-v%C3%A0-ch%E1%BB%8B-thu-5-con-ltm-45t-ln-241014-v3-%C4%91ph%C6%B0%C6%A1ng-3dhsd-2d-tml-mt-ln-mass-ads,Team sản xuất SG,G,đphương,3DHSD,2D-TML,Team sản xuất SG,đphương,3DNQT,2559-11-14,N_241004,CGSĐ,Hiếu,,,,,
250601,250601-CGSĐ Hiếu đón chị Yến hàng xóm 250310 tvc v1,https://trello.com/c/dsYwWVjh/1122-250601-cgs%C4%91-hi%E1%BA%BFu-%C4%91%C3%B3n-ch%E1%BB%8B-y%E1%BA%BFn-h%C3%A0ng-x%C3%B3m-250310-tvc-v1-tthphuc-3dhsd-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DHSD,2D-TML,Team sản xuất SG,tthphuc,3DNQT,2585-04-27,N_23068,CGSĐ,Hiếu,,,,,
240815,240815-CGSĐ Hiếu ơi chị có bầu rồi 240809 tvc v2,https://trello.com/c/tdFsPvB5/1748-240815-cgs%C4%91-hi%E1%BA%BFu-%C6%A1i-ch%E1%BB%8B-c%C3%B3-b%E1%BA%A7u-r%E1%BB%93i-240809-tvc-v2-tthphuc-3dos-2d-tml-mt-tvc-mass-adsaltv,Team sản xuất SG,G,tthphuc,3DOS,2D-TML,Team sản xuất SG,tthphuc,3DNQT,2559-04-23,N_23068,CGSĐ,Hiếu,,,,,
250715,250715-CGSĐ Hiếu ME+ 6in1 45t 250708 tvc v1,https://trello.com/c/QF7F332H/1276-250715-cgs%C4%91-hi%E1%BA%BFu-me-6in1-45t-250708-tvc-v1-tthuyen-3dos-mt-tvc-massads,Team sản xuất HN,G,tthuyen,3DOS,,Team sản xuất HN,tthuyen,3DOS,2586-05-30,B_240706,CGSĐ,Hiếu,,,,,
250810,250810-CGSĐ Hiếu tư vấn có tốn tiền không 250716 tvc v1,https://trello.com/c/f3nV4bUy/1378-250810-cgs%C4%91-hi%E1%BA%BFu-t%C6%B0-v%E1%BA%A5n-c%C3%B3-t%E1%BB%91n-ti%E1%BB%81n-kh%C3%B4ng-250716-tvc-v1-tthphuc-3dth%C4%91-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DTHĐ,2D-TML,Team sản xuất SG,tthphuc,3DNSH,2586-06-07,N_23068,CGSĐ,Hiếu,,,,,
241020,241020-CGSD Hiếu ai chăm chị 48t 240809 tvc v3,https://trello.com/c/VLpx8rm7/4-241020-cgsd-hi%E1%BA%BFu-ai-ch%C4%83m-ch%E1%BB%8B-48t-240809-tvc-v2-dnktuyen-3dhsd-2d-tml-mt-tvc-mass-adsatlv,Team sản xuất SG,G,dnktuyen,3DHSD,2D-TML,Team sản xuất SG,dnktuyen,3DNQT,2559-04-23,N_24828,CGSĐ,Hiếu,,,,,
241005,241005-CGSD Hiếu Chị Vy Duy bù xù 240722 lt v1,https://trello.com/c/GwVUJ4zJ/2088-241005-cgsd-hi%E1%BA%BFu-ch%E1%BB%8B-vy-duy-b%C3%B9-x%C3%B9-240722-lt-v1-dnktuyen-3dhsd-2d-tml-mt-lt-mass-adstoannv,Team sản xuất SG,G,dnktuyen,3DHSD,2D-TML,Team sản xuất SG,dnktuyen,3DNSH,2559-01-26,N_24976,CGSĐ,Hiếu,,,,,
241220,241220- CGSĐ Hiếu và chị Quế keo ltm 48t 241112 lt v1,https://trello.com/c/5Oc5ZnuK/366-241220-cgs%C4%91-hi%E1%BA%BFu-v%C3%A0-ch%E1%BB%8B-qu%E1%BA%BF-keo-ltm-48t-241112-lt-v1-%C4%91ph%C6%B0%C6%A1ng-3dos-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,đphương,3DOS,2D-TML,Team sản xuất SG,đphương,3DNQT,2560-02-20,N_247113,CGSĐ,Hiếu,,,,,
250110,250110 - CGCD Thông làm ko đau 231206 tvc v2,https://trello.com/c/wK8T2HHR/417-250110-cgcd-th%C3%B4ng-l%C3%A0m-ko-%C4%91au-231206-tvc-v2-dnktuyen-3dhsd-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,dnktuyen,3DHSD,2D-TML,Team sản xuất SG,dnktuyen,3DHSD,2560-05-24,N_247120,Thường,Thông,,,,,
250815,250815-CGSĐ Hiếu chỉ trỏ 250804 tvc v1,https://trello.com/c/OMG72yRp/1402-250815-cgs%C4%91-hi%E1%BA%BFu-ch%E1%BB%89-tr%E1%BB%8F-250804-tvc-v1-ptnquynh-3dnnh-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3DNNH,2D-NPL,Team sản xuất HN,ptnquynh,3DOS,2586-09-03,N_23068,CGSĐ,Hiếu,,,,,
250920,250920-CGSĐ Hiếu Giải đáp về tiền 250908 tvc v1,https://trello.com/c/n91DM605/1494-250920-cgs%C4%91-hi%E1%BA%BFu-gi%E1%BA%A3i-%C4%91%C3%A1p-v%E1%BB%81-ti%E1%BB%81n-250908-tvc-v1-ptnquynh-3dos-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3DNDT,2D-NPL,Team sản xuất HN,ptnquynh,OS,2586-12-16,N_23068,CGSĐ,Hiếu,,,,,
251001,251001-CGSĐ Hiếu trẻ hoá CNC tvc 250917 v1,https://trello.com/c/ncWUtxau/1518-251001-cgs%C4%91-hi%E1%BA%BFu-tr%E1%BA%BB-ho%C3%A1-cnc-tvc-250917-v1-tthuyen-3dnnh-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNNH,2D-NDT,Team sản xuất HN,tthuyen,3DOS,2586-12-25,N_23068,CGSĐ,Hiếu,,,,,
250915,250915-CGSĐ Xuân khách em cỡ này 250905 tvc v1,https://trello.com/c/4Gy1v9YR/1490-250915-cgs%C4%91-xu%C3%A2n-kh%C3%A1ch-em-c%E1%BB%A1-n%C3%A0y-250905-tvc-v1-tthphuc-3dth%C4%91-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DTHĐ,2D-TML,Team sản xuất SG,tthphuc,3DHSD,2586-12-13,N_686868,CGSĐ,Xuân,,,,,
250210,250210-CGSĐ Tú ham collagen giá rẻ 241226 tvc v1,https://trello.com/c/4ycYgCtA/564-250210-cgs%C4%91-t%C3%BA-ham-collagen-gi%C3%A1-r%E1%BA%BB-241226-tvc-v1-tthphuc-3dos-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DOS,2D-TML,Team sản xuất SG,tthphuc,3DHSD,2560-06-13,N_292024,CGSĐ,Tú,,,,,
251015,251015-CGSĐ Hiếu wow wow wow 56t 251007 tvc v1,https://trello.com/c/Py8TnvMn/1574-251015-cgs%C4%91-hi%E1%BA%BFu-wow-wow-wow-56t-251007-tvc-v1-nvhoan-3dnnh-mt-tvc-mass-ads,Team sản xuất HN,G,nvhoan,3DNNH,,Team sản xuất HN,nvhoan,3DOS,2587-03-25,N_23068,CGSĐ,Hiếu,Xoá nhăn,,,,
251101,251101-CGSĐ Hiếu chị Thơm sau điều trị 57t 250911 lt v1,https://trello.com/c/cpvVKEhJ/1598-251101-cgs%C4%91-hi%E1%BA%BFu-ch%E1%BB%8B-th%C6%A1m-sau-%C4%91i%E1%BB%81u-tr%E1%BB%8B-57t-250911-lt-v1-tthphuc-3dnqt-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,tthphuc,3DNQT,2D-TML,Team sản xuất SG,tthphuc,3DHSD,2586-12-19,N_259112,CGSĐ,Hiếu,Xoá nhăn,,,,
240715,240715-CGSD Hiếu facetime c Hoàng 49t 240614 tvc v2,https://trello.com/c/CLfAS15k/1492-240715-cgsd-hi%E1%BA%BFu-facetime-c-ho%C3%A0ng-49t-240614-tvc-v2-dnktuyen-3dnqt-2d-tml-mt-tvc-mass-adsatlv,Tean sản xuất SG,G,dnktuyen,3DNQT,2D-TML,Team sản xuất SG,dnktuyen,3DNSH,2558-10-10,N_240534,CGSĐ,Hiếu,,,,,
241101,241101-CGSĐ Hiếu về luôn trong ngày 241014 v1,https://trello.com/c/QhKHa2Oj/73-241101-cgs%C4%91-hi%E1%BA%BFu-v%E1%BB%81-lu%C3%B4n-trong-ng%C3%A0y-241014-v1-ngnqnhu-3dhsd-2d-tml-mt-tvc-mass-adstoannv,Team sản xuất SG,G,ngnqnhu,3DHSD,2D-TML,Team sản xuất SG,ngnqnhu,3DNQT,2559-11-14,N_241003,CGSĐ,Hiếu,Xoá nhăn,,,,
240605,240605-ME chị thanh và con trai 49t 240403 lt v1,https://trello.com/c/74SpOGR6/860-240605-me-ch%E1%BB%8B-thanh-v%C3%A0-con-trai-49t-240403-lt-v1-ngnqnhu-3dnsh-2d-tml-mt-lt-mass-adstoannv,Team sản xuất SG,G,ngnqnhu,3DNSH,2D-TML,Team sản xuất SG,ngnqnhu,3DHSD,2558-03-13,N_24431,Thường,Hiếu,,,,,
240820,240820-CGSĐ Hiếu bị mượn tiền 240809 tvc v2,https://trello.com/c/b1QPH9pO/1771-240820-cgs%C4%91-hi%E1%BA%BFu-b%E1%BB%8B-m%C6%B0%E1%BB%A3n-ti%E1%BB%81n-240809-tvc-v2-%C4%91ph%C6%B0%C6%A1ng-3dnqt-2dtml-mt-tvc-mass-adsatlv,Team sản xuất SG,G,đphương,3DNQT,2D-TML,Team sản xuất SG,đphương,3DNQT,2559-04-23,N_23068,CGSĐ,Hiếu,,,,,
240920,240920-CGSĐ Bọng mắt bay xa 240716 tvc v1,https://trello.com/c/bKfw31fA/2011-240920-cgs%C4%91-b%E1%BB%8Dng-m%E1%BA%AFt-bay-xa-240716-tvc-v1-ptnquynh-3dndt-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3DNTT,2D-NDT,Team sản xuất HN,đphương,3DNQT,2559-01-20,N_23068,CGSĐ,Hiếu,,,,,
250602,250602-CGSĐ Hiếu chị mơ hành trình tiktok 241112 v2,https://trello.com/c/eY2d6Hqp/1111-250602-cgs%C4%91-hi%E1%BA%BFu-ch%E1%BB%8B-m%C6%A1-h%C3%A0nh-tr%C3%ACnh-tiktok-241112-v2-ngnqnhu-3dth%C4%91-2d-tml-mt-lt-mass-adsatlv,Team sản xuất SG,G,ngnqnhu,3DTHĐ,2D-TML,Team sản xuất SG,ngnqnhu,3DNQT,2560-02-20,N_247114,CGSĐ,Hiếu,Xoá nhăn,,,,
251210,251210-CGSĐ Hiếu mặt lệch 251104 tvc v1,https://trello.com/c/UGBEMiAV/1692-251210-cgs%C4%91-hi%E1%BA%BFu-m%E1%BA%B7t-l%E1%BB%87ch-251104-tvc-v1-tthuyen-3dnnh-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNNH,2D-NPL,Team sản xuất HN,tthuyen,3DOS,2587-06-30,N_23068,CGSĐ,Hiếu,Lõm hóp,,,,
250615,250615-CGSĐ Hiếu tâm sự mỏng 240412 tvc v1,https://trello.com/c/jBj87aG0/1156-250615-cgs%C4%91-hi%E1%BA%BFu-t%C3%A2m-s%E1%BB%B1-m%E1%BB%8Fng-tvc-240412-v1-nvhoan-3dnnh-mt-tvc-mass,Team sản xuất HN,G,nvhoan,3DNNH,,Team sản xuất HN,nvhoan + tthuyen,3DOS,2585-08-07,N_247120,CGSĐ,Hiếu,Lõm hóp,,,,
250215,250215 - CGSĐ Hiếu VK về 3 tuần làm kịp không 241222 tvc v1,https://trello.com/c/c8w92N85/644-250215-cgs%C4%91-hi%E1%BA%BFu-vk-v%E1%BB%81-3-tu%E1%BA%A7n-l%C3%A0m-k%E1%BB%8Bp-kh%C3%B4ng-241222-tvc-v1-%C4%91ph%C6%B0%C6%A1ng-3dnqt-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,đphương,3DNQT,2D-TML,Team sản xuất SG,đphương,3DNQT,2560-06-10,N_23068,CGSĐ,Hiếu,,,,,
250522,250522-CGSĐ Thông chị thu oanh ltm 250225 v1,https://trello.com/c/BZTMHQR5/1079-250522-cgs%C4%91-th%C3%B4ng-ch%E1%BB%8B-thu-oanh-ltm-250225-v1-ngnqnhu-3dnsh-2d-tml-mt-lt-mass-adstoannv,Team sản xuất SG,G,ngnqnhu,3DNSH,2D-TML,Team sản xuất SG,ngnqnhu,3DHSD,2585-02-01,N_252126,CGSĐ,Thông,Xoá nhăn,,,,
250801,250801-CGSĐ Hiếu 3 ô 250708 55t tvc v1,https://trello.com/c/eRXRpx4c/1328-250801-cgs%C4%91-hi%E1%BA%BFu-3-%C3%B4-250708-55t-tvc-v1-ptnquynh-3dntc-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3TTT,2D-NPL,Team sản xuất SG,đphương,3DNSH,2560-06-10,N_23068,CGSĐ,Hiếu,,,,,
240910,240910-CGSĐ facetime 3 người 43t 240819 tvc v1,https://trello.com/c/d7RaMWzV/1899-240910-cgs%C4%91-facetime-3-ng%C6%B0%E1%BB%9Di-43t-240819-tvc-v1-tthuyen-3dntt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNTT,,Team sản xuất HN,tthuyen,3DOS,2559-05-03,B_240819,CGSĐ,Hiếu,,,,,
240810,240810-CGSĐ Exion xoá bọng mắt 240705 tvc v1,https://trello.com/c/Z6BTzztw/1608-240810-cgs%C4%91-exion-xo%C3%A1-b%E1%BB%8Dng-m%E1%BA%AFt-240705-tvc-v1-tthuyen-3dntc-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNTC,2D-NDT,Team sản xuất HN,tthuyen,OS,2559-01-09,N_23068,CGSĐ,Hiếu,,,,,
230811,230811 - CGSĐ làm đẹp thông minh 230804 tvc v3.1,https://trello.com/c/feMK3r2F/6208-230811-cgs%C4%91-l%C3%A0m-%C4%91%E1%BA%B9p-th%C3%B4ng-minh-230804-tvc-v3-%C4%91ph%C6%B0%C6%A1ng-3dnqt-2d-tml-mt-mass-adsatlv?search_id=5e23327c-4364-4016-b8ec-c275f4e9b197,Team sản xuất SG,G,đphương,3DNQT,2D-TML,Team sản xuất SG,đphương,,2531-12-01,N_23068,CGSĐ,Hiếu,,,,,
231211,231211- ME cắt đôi số tuổi 37t 35t 230715 230910 tvc v1,https://trello.com/c/Vo3G9yDs/7166-231211-me-c%E1%BA%AFt-%C4%91%C3%B4i-s%E1%BB%91-tu%E1%BB%95i-37t-35t-230715-230910-tvc-v1-nvhoan-3dos-2d-ndt-mt-tvc-mass-ads?search_id=7431436a-9082-4a6b-b5e8-e9232ed022ed,Team sản xuất HN,G,nvhoan,3DOS,2D-NDT,Team sản xuất HN,,Tổng hợp,,,Thường,Mẫu,,TVC,Bắc+nam,35-44,>=2 nữ
221208,221208- anh ny việt kiều tcs 42 221111 v2,https://trello.com/c/Fx5rkOwG/4722-221208-anh-ny-vi%E1%BB%87t-ki%E1%BB%81u-tcs-42-221111-v2-%C4%91ph%C6%B0%C6%A1ng-3dhsd-2d-tml-mt-tcs-mass-adshieuvm?search_id=97745989-7ae3-4560-a883-36f539cb47d9,Team sản xuất SG,G,đphương,3DHSD,2D-TML,Team sản xuất SG,đphương,,2505-05-18,N_22011,Thường,Mẫu,,,,,
240610,240610-CGSĐ tư vấn chị Huyền 43t 240517 tvc v2,https://trello.com/c/s78LTvC7/1013-240610-cgs%C4%91-t%C6%B0-v%E1%BA%A5n-ch%E1%BB%8B-huy%E1%BB%81n-43t-240517-tvc-v2-tthuyen-3dntc-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNTC,2D-NDT,Team sản xuất HN,tthuyen,3DNQT,2558-07-05,N_23068,CGSĐ,Hiếu,Xoá nhăn,,,,
240620,240620-CGSĐ làm đẹp lẻ 240610 tvc v2,https://trello.com/c/WIJWCJjA/1226-240620-cgs%C4%91-l%C3%A0m-%C4%91%E1%BA%B9p-l%E1%BA%BB-240610-tvc-v2-tthuyen-3dos-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DOS,2D-NPL,Team sản xuất HN,tthuyen,3DOS,2558-10-06,N_23068,CGSĐ,Hiếu,,,,,
240710,240710-CGSĐ mượn tiền 240610 tvc v1,https://trello.com/c/5H2vJVkY/1329-240710-cgs%C4%91-m%C6%B0%E1%BB%A3n-ti%E1%BB%81n-240610-tvc-v1-tthuyen-3dndt-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNDT,2D-NDT,Team sản xuất HN,tthuyen,3DOS,2558-10-06,N_23068,CGSĐ,Hiếu,,,,,
240805,240805-CGSĐ Hiếu trải nghiệm 7 trong 1 tvc 240722 v1,https://trello.com/c/EY48DmSH/1616-240805-cgs%C4%91-hi%E1%BA%BFu-tr%E1%BA%A3i-nghi%E1%BB%87m-7-trong-1-ln-240722-v1-%C4%91ph%C6%B0%C6%A1ng-3dnsh-2d-tml-mt-ln-mass-adstoannv,Team sản xuất SG,G,đphương,3DNSH,2D-TML,Team sản xuất SG,đphương,3DNQT,2559-01-26,N_23068,CGSĐ,Hiếu,,,,,
240915,240915-CGSĐ Tấn xóa bọng mắt an toàn 240820 tvc v1,https://trello.com/c/cNTNa3kA/1938-240915-cgs%C4%91-t%E1%BA%A5n-x%C3%B3a-b%E1%BB%8Dng-m%E1%BA%AFt-an-to%C3%A0n-240820-tvc-v1-tthphuc-3dhsd-2d-tml-mt-tvc-mass-adstoannv,Team sản xuất SG,G,tthphuc,3DHSD,2D-TML,Team sản xuất SG,tthphuc,3DNSH,2559-05-04,N_240536,CGSĐ,Tấn,,,,,
241205,241205-CGSĐ Hiếu chị mơ hành trình tiktok 241112 v2,https://trello.com/c/dDP788qZ/213-241205-cgs%C4%91-hi%E1%BA%BFu-ch%E1%BB%8B-m%C6%A1-h%C3%A0nh-tr%C3%ACnh-tiktok-241112-v2-ngnqnhu-3dth%C4%91-2d-tml-mt-lt-mass-adsatlv,Team sản xuất SG,G,ngnqnhu,3DTHĐ,2D-TML,Team sản xuất SG,ngnqnhu,3DNQT,2560-02-20,N_247114,CGSĐ,Hiếu,,,,,
250310,250310 - CGSĐ Hiếu tự live cùng Candy và Trizzie 250215 lt v2,https://trello.com/c/JiZfvXkN/749-250310-cgs%C4%91-hi%E1%BA%BFu-t%E1%BB%B1-live-c%C3%B9ng-candy-v%C3%A0-trizzie-250215-lt-v2-%C4%91ph%C6%B0%C6%A1ng-3dhsd-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,đphương,3DHSD,2D-TML,Team sản xuất SG,đphương,3DNQT,2585-01-22,N_252123,CGSĐ,Hiếu,,,,,
250410,250410-CGSĐ Duy Véo má 41t 250331 tvc v2,https://trello.com/c/aQgxRLJN/974-250410-cgs%C4%91-duy-v%C3%A9o-m%C3%A1-41t-250331-tvc-v2-ptnquynh-3dos-2d-npl-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3DOS,2D-NPL,Team sản xuất HN,ptnquynh,3DOS,2585-05-18,B_23019,CGSĐ,Duy,,,,,
250525,250525-CGSĐ Hiếu làm 1 nhận 5 250412 tvc v1,https://trello.com/c/yYMhKBlj/1063-250525-cgs%C4%91-hi%E1%BA%BFu-l%C3%A0m-1-nh%E1%BA%ADn-5-250412-tvc-v1-tthuyen-3dndt-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNDT,2D-NDT,Team sản xuất HN,tthuyen,3DOS,2585-08-07,N_23068,CGSĐ,Hiếu,Xoá nhăn,,,,
250705,250705-CGSĐ Hiếu nghỉ dưỡng bao lâu 250414 tvc v1,https://trello.com/c/TWcqxH2d/1258-250705-cgs%C4%91-hi%E1%BA%BFu-ngh%E1%BB%89-d%C6%B0%E1%BB%A1ng-bao-l%C3%A2u-250414-tvc-v1-tthuyen-3dndt-2d-ndt-mt-tvc-mass-ads,Team sản xuất HN,G,tthuyen,3DNDT,2D-NDT,Team sản xuất HN,tthuyen,3DOS,2585-08-09,,CGSĐ,Hiếu,Xoá nhăn,,,,
250720,250720-CGSĐ Hiếu hóp hóp hóp 49t 250410 tvc v1,https://trello.com/c/ajwuVFIy/1295-250720-cgs%C4%91-hi%E1%BA%BFu-h%C3%B3p-h%C3%B3p-h%C3%B3p-49t-250410-tvc-v1-nvhoan-3dnnh-mt-tvc-mass,Team sản xuất HN,G,nvhoan,3DNNH,,Team sản xuất HN,tthuyen,3DOS,2586-05-30,B_250417,CGSĐ,Hiếu,,,,,
250805,250805-CGSĐ Hiếu bí quyết 3 năm 250716 tvc v1,https://trello.com/c/h7yu8uEu/1366-250805-cgs%C4%91-hi%E1%BA%BFu-b%C3%AD-quy%E1%BA%BFt-3-n%C4%83m-250716-tvc-v1-tthphuc-3dnsh-2d-tml-mt-tvc-mass-ads,Team sản xuất SG,G,tthphuc,3DNSH,2D-TML,Team sản xuất SG,tthphuc,3DNSH,2586-06-07,N_23068,CGSĐ,Hiếu,,,,,
250901,250901-CGSĐ Hiếu 99% 40t 50t 250804 tvc v1,https://trello.com/c/805uyFHq/1437-250901-cgs%C4%91-hi%E1%BA%BFu-99-40t-50t-250804-tvc-v1-ptnquynh-3dttt-mt-tvc-mass-ads,Team sản xuất HN,G,ptnquynh,3DTTT,,Team sản xuất HN,OS,ptnquynh,2586-09-03,N_23068,CGSĐ,Hiếu,Xoá nhăn,,,,
250905,250905-CGSĐ Hiếu cô Đông lại đòi mượn tiền cnc 58t 250814 lt v1,https://trello.com/c/otCQmNMu/1422-250905-cgs%C4%91-hi%E1%BA%BFu-c%C3%B4-%C4%91%C3%B4ng-l%E1%BA%A1i-%C4%91%C3%B2i-m%C6%B0%E1%BB%A3n-ti%E1%BB%81n-cnc-58t-250814-lt-v1-%C4%91ph%C6%B0%C6%A1ng-3dnsh-2d-tml-mt-lt-mass-ads,Team sản xuất SG,G,đphương,3DHSD,2D-TML,Team sản xuất SG,đphương,3DHSD,2586-09-13,N_24823,CGSĐ,Hiếu,Xoá nhăn,,,,
